# UMLS Relationship Attribute (RELA) to Biolink Model Predicate Mapping
# Format: RELA <TAB> biolink_predicate
# This is a simplified, direct mapping. A production system would need more nuance.
isa	biolink:subclass_of
mapped_to	biolink:related_to
tradename_of	biolink:related_to
has_tradename	biolink:related_to
ingredient_of	biolink:part_of
has_ingredient	biolink:has_part
inverse_isa	biolink:superclass_of
treats	biolink:treats
may_treat	biolink:treats
may_be_treated_by	biolink:treated_by
may_prevent	biolink:prevents
may_be_prevented_by	biolink:prevented_by
may_diagnose	biolink:diagnoses
may_be_diagnosed_by	biolink:diagnosed_by
causes	biolink:causes
caused_by	biolink:caused_by
contraindicated_with	biolink:contraindicated_for
location_of	biolink:located_in
has_location	biolink:location_of
part_of	biolink:part_of
has_part	biolink:has_part
conceptual_part_of	biolink:part_of
has_conceptual_part	biolink:has_part
associated_with	biolink:related_to
occurs_in	biolink:occurs_in
process_of	biolink:process_of
