# UMLS Semantic Type (TUI) to Biolink Model Category Mapping
# Format: TUI <TAB> biolink_category
# This is a representative subset. A complete mapping would be more extensive.
T047	biolink:Disease
T191	biolink:NeoplasticProcess
T020	biolink:AcquiredAbnormality
T050	biolink:ExperimentalModelOfDisease
T048	biolink:MentalOrBehavioralDysfunction
T049	biolink:CongenitalAbnormality
T184	biolink:SignOrSymptom
T033	biolink:Finding
T046	biolink:PathologicFunction
T109	biolink:OrganicChemical
T121	biolink:PharmacologicSubstance
T195	biolink:Antibiotic
T122	biolink:BiomedicalOrDentalMaterial
T127	biolink:Vitamin
T131	biolink:HazardousOrPoisonousSubstance
T116	biolink:Protein
T114	biolink:NucleicAcid
T025	biolink:Cell
T026	biolink:CellularComponent
T023	biolink:OrganismalEntity
T022	biolink:BodySystem
T024	biolink:Tissue
T031	biolink:BodySubstance
T082	biolink:GeographicLocation
T077	biolink:InformationContentEntity
T169	biolink:FunctionalConcept
T100	biolink:AgeGroup
T001	biolink:Organism
T101	biolink:PopulationOfIndividualOrganisms
T062	biolink:ResearchActivity
T060	biolink:DiagnosticProcedure
T061	biolink:TherapeuticProcedure
T091	biolink:HealthcareActivity
T092	biolink:Receptor
T043	biolink:CellFunction
T045	biolink:GeneticFunction
T038	biolink:BiologicalProcess
T028	biolink:Gene
T067	biolink:Phenomenon
T058	biolink:DailyOrRecreationalActivity
